@relation TASKDATA3

@attribute PRODUCT {'Vintage Cars','Classic Cars','Trucks and Buses',Trains,Ships,Planes,Motorcycles}
@attribute CLIENT {363,128,181,121,141,145,278,131,385,486,187,129,144,124,172,424,381,148,216,382,114,353,350,103,112,458,151,324,198,447,250,242,282,161,334,320,205,379,276,487,311,333,219,186,321,347,227,452,462,448,175,386,344,171,167,339,484,489,471,146,319,455,475,202,495,177,406,166,189,314,239,298,173,240,328,260,209,456,450,201,398,362,157,119,204,249,299,286,415}

@data
'Vintage Cars',363
'Vintage Cars',363
'Vintage Cars',363
'Vintage Cars',363
'Vintage Cars',128
'Vintage Cars',128
'Vintage Cars',128
'Vintage Cars',128
'Vintage Cars',181
'Vintage Cars',181
'Classic Cars',121
'Classic Cars',121
'Trucks and Buses',121
'Trucks and Buses',121
'Trucks and Buses',121
'Vintage Cars',121
'Vintage Cars',121
'Vintage Cars',121
'Vintage Cars',121
'Trucks and Buses',121
'Vintage Cars',121
'Trucks and Buses',121
'Vintage Cars',121
'Trucks and Buses',121
'Trucks and Buses',121
'Classic Cars',121
'Classic Cars',141
'Trucks and Buses',141
'Classic Cars',141
'Trucks and Buses',141
'Classic Cars',141
'Classic Cars',141
'Classic Cars',141
'Classic Cars',141
'Classic Cars',141
'Trucks and Buses',141
Trains,141
'Trucks and Buses',141
Trains,141
'Classic Cars',145
'Classic Cars',145
'Classic Cars',145
'Vintage Cars',145
Trains,145
'Vintage Cars',145
Ships,145
'Vintage Cars',145
'Vintage Cars',145
Ships,145
Ships,145
Ships,145
Ships,145
Ships,145
Ships,145
Planes,278
Planes,278
Ships,278
'Vintage Cars',278
Planes,278
Planes,278
'Vintage Cars',278
Planes,278
Planes,278
'Vintage Cars',278
'Vintage Cars',278
Planes,278
Ships,278
Planes,278
Planes,278
Planes,278
Planes,278
Planes,278
Motorcycles,131
Motorcycles,131
Motorcycles,131
Motorcycles,131
Motorcycles,131
Motorcycles,131
Motorcycles,131
Motorcycles,131
'Classic Cars',385
'Classic Cars',385
'Classic Cars',385
