PRODUCTLINE,COUNTRY
Motorcycles                                       ,France       
Motorcycles                                       ,France       
Classic Cars                                      ,USA          
Classic Cars                                      ,Australia    
Motorcycles                                       ,France       
Motorcycles                                       ,France       
Motorcycles                                       ,France       
Motorcycles                                       ,France       
Classic Cars                                      ,Belgium      
Classic Cars                                      ,USA          
Classic Cars                                      ,Australia    
Classic Cars                                      ,USA          
Classic Cars                                      ,Italy        
Classic Cars                                      ,USA          
Trucks and Buses                                  ,USA          
Trucks and Buses                                  ,Australia    
Motorcycles                                       ,France       
Classic Cars                                      ,USA          
Classic Cars                                      ,USA          
Classic Cars                                      ,Italy        
Classic Cars                                      ,USA          
Classic Cars                                      ,USA          
Classic Cars                                      ,Italy        
Trucks and Buses                                  ,USA          
Classic Cars                                      ,USA          
Classic Cars                                      ,Italy        
Trucks and Buses                                  ,USA          
Trucks and Buses                                  ,Australia    
Classic Cars                                      ,France       
Classic Cars                                      ,Italy        
Vintage Cars                                      ,Australia    
Vintage Cars                                      ,Australia    
Classic Cars                                      ,France       
Classic Cars                                      ,Italy        
Planes                                            ,USA          
Classic Cars                                      ,USA          
Classic Cars                                      ,Italy        
Classic Cars                                      ,France       
Classic Cars                                      ,Italy        
Classic Cars                                      ,USA          
Trucks and Buses                                  ,USA          
Trucks and Buses                                  ,USA          
Trucks and Buses                                  ,USA          
Planes                                            ,France       
Motorcycles                                       ,France       
Motorcycles                                       ,France       
Vintage Cars                                      ,Australia    
Classic Cars                                      ,France       
Classic Cars                                      ,Italy        
Vintage Cars                                      ,Australia    
Vintage Cars                                      ,Australia    
Vintage Cars                                      ,Australia    
Vintage Cars                                      ,Austria      
Ships                                             ,Belgium      
Vintage Cars                                      ,Australia    
Vintage Cars                                      ,Australia    
Vintage Cars                                      ,Belgium      
Classic Cars                                      ,France       
Classic Cars                                      ,Italy        
Classic Cars                                      ,USA          
Trains                                            ,Belgium      
Classic Cars                                      ,USA          
Classic Cars                                      ,Australia    
Vintage Cars                                      ,Australia    
Classic Cars                                      ,USA          
Classic Cars                                      ,Australia    
Classic Cars                                      ,France       
Classic Cars                                      ,Italy        
Motorcycles                                       ,USA          
Vintage Cars                                      ,Belgium      
Classic Cars                                      ,USA          
Vintage Cars                                      ,Belgium      
Trucks and Buses                                  ,USA          
Trucks and Buses                                  ,Australia    
Vintage Cars                                      ,USA          
Vintage Cars                                      ,Australia    
Classic Cars                                      ,USA          
Classic Cars                                      ,USA          
Classic Cars                                      ,USA          
Classic Cars                                      ,USA          
Motorcycles                                       ,France       
Motorcycles                                       ,France       
Classic Cars                                      ,France       
Classic Cars                                      ,Italy        
Planes                                            ,France       
Motorcycles                                       ,France       
Motorcycles                                       ,France       
Ships                                             ,Belgium      
Trucks and Buses                                  ,USA          
Trucks and Buses                                  ,USA          
Motorcycles                                       ,USA          
Classic Cars                                      ,USA          
Classic Cars                                      ,USA          
Planes                                            ,USA          
Classic Cars                                      ,USA          
Classic Cars                                      ,USA          
Classic Cars                                      ,Italy        
Vintage Cars                                      ,Belgium      
Classic Cars                                      ,USA          
Classic Cars                                      ,USA          
Classic Cars                                      ,Italy        
Vintage Cars                                      ,USA          
Classic Cars                                      ,USA          
Vintage Cars                                      ,Belgium      
Classic Cars                                      ,USA          
Classic Cars                                      ,Italy        
Planes                                            ,France       
Classic Cars                                      ,USA          
Vintage Cars                                      ,Australia    
Vintage Cars                                      ,Austria      
Planes                                            ,France       
Classic Cars                                      ,USA          
Trucks and Buses                                  ,USA          
Trucks and Buses                                  ,Australia    
Motorcycles                                       ,France       
Motorcycles                                       ,USA          
Trucks and Buses                                  ,USA          
Trains                                            ,USA          
Trucks and Buses                                  ,USA          
Trucks and Buses                                  ,Australia    
Vintage Cars                                      ,France       
Motorcycles                                       ,USA          
Vintage Cars                                      ,France       
Trucks and Buses                                  ,USA          
Trains                                            ,USA          
Motorcycles                                       ,USA          
Ships                                             ,Belgium      
Planes                                            ,France       
Ships                                             ,Belgium      
Ships                                             ,USA          
Planes                                            ,France       
Ships                                             ,Belgium      
Classic Cars                                      ,USA          
Classic Cars                                      ,Australia    
Planes                                            ,France       
Planes                                            ,France       
Ships                                             ,Belgium      
Ships                                             ,Belgium      
Planes                                            ,France       
Planes                                            ,USA          
Ships                                             ,Belgium      
