ORDERNUMBER,PRODUCTLINE,CUSTOMERNUMBER
10100,Vintage Cars                                      ,363
10100,Vintage Cars                                      ,363
10100,Vintage Cars                                      ,363
10100,Vintage Cars                                      ,363
10101,Vintage Cars                                      ,128
10101,Vintage Cars                                      ,128
10101,Vintage Cars                                      ,128
10101,Vintage Cars                                      ,128
10102,Vintage Cars                                      ,181
10102,Vintage Cars                                      ,181
10103,Classic Cars                                      ,121
10103,Classic Cars                                      ,121
10103,Trucks and Buses                                  ,121
10103,Trucks and Buses                                  ,121
10103,Trucks and Buses                                  ,121
10103,Vintage Cars                                      ,121
10103,Vintage Cars                                      ,121
10103,Vintage Cars                                      ,121
10103,Vintage Cars                                      ,121
10103,Trucks and Buses                                  ,121
10103,Vintage Cars                                      ,121
10103,Trucks and Buses                                  ,121
10103,Vintage Cars                                      ,121
10103,Trucks and Buses                                  ,121
10103,Trucks and Buses                                  ,121
10103,Classic Cars                                      ,121
10104,Classic Cars                                      ,141
10104,Trucks and Buses                                  ,141
10104,Classic Cars                                      ,141
10104,Trucks and Buses                                  ,141
10104,Classic Cars                                      ,141
10104,Classic Cars                                      ,141
10104,Classic Cars                                      ,141
10104,Classic Cars                                      ,141
10104,Classic Cars                                      ,141
10104,Trucks and Buses                                  ,141
10104,Trains                                            ,141
10104,Trucks and Buses                                  ,141
10104,Trains                                            ,141
10105,Classic Cars                                      ,145
10105,Classic Cars                                      ,145
10105,Classic Cars                                      ,145
10105,Vintage Cars                                      ,145
10105,Trains                                            ,145
10105,Vintage Cars                                      ,145
10105,Ships                                             ,145
10105,Vintage Cars                                      ,145
10105,Vintage Cars                                      ,145
10105,Ships                                             ,145
10105,Ships                                             ,145
10105,Ships                                             ,145
10105,Ships                                             ,145
10105,Ships                                             ,145
10105,Ships                                             ,145
10106,Planes                                            ,278
10106,Planes                                            ,278
10106,Ships                                             ,278
10106,Vintage Cars                                      ,278
10106,Planes                                            ,278
10106,Planes                                            ,278
10106,Vintage Cars                                      ,278
10106,Planes                                            ,278
10106,Planes                                            ,278
10106,Vintage Cars                                      ,278
10106,Vintage Cars                                      ,278
10106,Planes                                            ,278
10106,Ships                                             ,278
10106,Planes                                            ,278
10106,Planes                                            ,278
10106,Planes                                            ,278
10106,Planes                                            ,278
10106,Planes                                            ,278
10107,Motorcycles                                       ,131
10107,Motorcycles                                       ,131
10107,Motorcycles                                       ,131
10107,Motorcycles                                       ,131
10107,Motorcycles                                       ,131
10107,Motorcycles                                       ,131
10107,Motorcycles                                       ,131
10107,Motorcycles                                       ,131
10108,Classic Cars                                      ,385
10108,Classic Cars                                      ,385
10108,Classic Cars                                      ,385
10108,Classic Cars                                      ,385
10108,Classic Cars                                      ,385
10108,Classic Cars                                      ,385
10108,Classic Cars                                      ,385
10108,Motorcycles                                       ,385
10108,Classic Cars                                      ,385
10108,Motorcycles                                       ,385
10108,Classic Cars                                      ,385
10108,Classic Cars                                      ,385
10108,Classic Cars                                      ,385
10108,Motorcycles                                       ,385
10108,Motorcycles                                       ,385
10108,Motorcycles                                       ,385
10109,Classic Cars                                      ,486
10109,Classic Cars                                      ,486
10109,Classic Cars                                      ,486
10109,Classic Cars                                      ,486
10109,Classic Cars                                      ,486
10109,Classic Cars                                      ,486
10110,Classic Cars                                      ,187
10110,Vintage Cars                                      ,187
10110,Vintage Cars                                      ,187
10110,Vintage Cars                                      ,187
10110,Vintage Cars                                      ,187
10110,Vintage Cars                                      ,187
10110,Classic Cars                                      ,187
10110,Classic Cars                                      ,187
10110,Classic Cars                                      ,187
10110,Vintage Cars                                      ,187
10110,Vintage Cars                                      ,187
10110,Classic Cars                                      ,187
10110,Classic Cars                                      ,187
10110,Classic Cars                                      ,187
10110,Classic Cars                                      ,187
10110,Vintage Cars                                      ,187
10111,Vintage Cars                                      ,129
10111,Vintage Cars                                      ,129
10111,Vintage Cars                                      ,129
10111,Vintage Cars                                      ,129
10111,Vintage Cars                                      ,129
10111,Vintage Cars                                      ,129
10112,Classic Cars                                      ,144
10112,Vintage Cars                                      ,144
10113,Trucks and Buses                                  ,124
10113,Trucks and Buses                                  ,124
10113,Vintage Cars                                      ,124
10113,Trucks and Buses                                  ,124
10114,Classic Cars                                      ,172
10114,Trucks and Buses                                  ,172
10114,Trucks and Buses                                  ,172
10114,Classic Cars                                      ,172
10114,Trucks and Buses                                  ,172
10114,Trucks and Buses                                  ,172
10114,Classic Cars                                      ,172
10114,Trucks and Buses                                  ,172
10114,Trucks and Buses                                  ,172
10114,Classic Cars                                      ,172
10115,Trucks and Buses                                  ,424
10115,Classic Cars                                      ,424
10115,Classic Cars                                      ,424
10115,Classic Cars                                      ,424
10115,Trucks and Buses                                  ,424
10116,Trains                                            ,381
10117,Classic Cars                                      ,148
10117,Classic Cars                                      ,148
